sampno,veh_id,veh_num,year,make,make_other,make_clean,model,model_other,model_clean,fuel_type,fuel_type_clean,vehicle_type,vehicle_type_clean,vehicle_status,how_acquired,acquired_year,acquired_month,annual_mileage,electric_miles,mpg,current_use,other_use,tnc_replacement,delivery_replacement,veh_home,personal_use,personal_miles,hv_replacement,fcev_fuel_cost
192143,192143.04,4,2017,FORD, ,FORD,,,,1,1.0,10,10, ,2,2017, ,25000, ,31,1, ,2,2,2, , ,250, 
192143,192143.05,5,2018,FORD, ,FORD,,,,2,2.0,3,3, ,2,2018,6,22000, ,29,4, ,2,2,2, , , , 
192145,192145.01,1,2013,FORD, ,FORD,,,,1,1.0,13,13, ,3,2015, ,15000, ,14,2, ,2,2,2, , ,400, 
192145,192145.02,2,2016,FORD, ,FORD,,,,8,6.0,13,13, ,3,2017, ,15000, ,17,2, ,2,2,1,2, ,200, 
192145,192145.03,3,2007,CHEVROLET, ,CHEVROLET,,,,4,3.0,13,13,1,3,2014, ,8000, ,13,5, ,2,2,2, , ,150, 
192145,192145.04,4,2006,FORD, ,FORD,,,,4,3.0,12,12,2,3,2010, ,5000, ,17,2, ,2,2,2, , ,150, 
192145,192145.05,5,2006,CHEVROLET, ,CHEVROLET,,,,1,1.0,13,13, ,3,2011, ,14000, ,16,5, ,2,2,1,1,20,300, 
192140,192140.01,1,2006,DODGE, ,DODGE,,,,4,3.0,13,13, ,3,2011, ,11000, ,16,2, ,2,2,1,1,40,100, 
192149,192149.01,1,2005,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,4,2013, ,11000, ,22,1, ,2,2,2, , ,410, 
192149,192149.02,2,2005,DODGE, ,DODGE,,,,4,3.0,13,13, ,4,2018,6,11000, ,17,1, ,2,2,2, , ,410, 
192155,192155.01,1,2015,DODGE, ,DODGE,,,,1,1.0,11,11, ,3,2014, ,20000, ,12,1, ,2,2,2, , ,200, 
192155,192155.02,2,2012,DODGE, ,DODGE,,,,1,1.0,11,11, ,3,2014, ,15000, ,19,1, ,2,2,2, , ,200, 
192159,192159.01,1,2018,NISSAN, ,NISSAN,,,,1,1.0,3,3, ,2,2019,1,15000, ,35,3, ,2,2,1,1,50,300, 
190733,190733.01,1,2014,TESLA, ,TESLA,,,,5,4.0,3,3, ,3,2017, ,12000, ,102,2, ,2,2,1,1,20, , 
190555,190555.01,1,2019,INFINITI, ,INFINITI,,,,1,1.0,8,8, ,2,2019,3,12000, ,21,2, ,2,2,1,1,20,250, 
190555,190555.02,2,2018,CHRYSLER, ,CHRYSLER,,,,1,1.0,11,11, ,2,2018,2,12000, ,22,2, ,2,2,1,1,20,250, 
190565,190565.01,1,2016,TOYOTA, ,TOYOTA,,,,1,1.0,8,8, ,3,2017, ,30000, ,70,4, ,1,1,1,2, ,200, 
190567,190567.01,1,2017,CHRYSLER, ,CHRYSLER,,,,1,1.0,10,10, ,2,2017, ,12000, ,20,2, ,2,2,1,1,20,300, 
190567,190567.02,2,2006,HONDA, ,HONDA,,,,1,1.0,10,10, ,2,2006, ,10000, ,20,2, ,2,2,1,1,15,300, 
190568,190568.01,1,1996,CHEVROLET, ,CHEVROLET,,,,1,1.0,10,10, ,3,2011, ,12000, ,15,1, ,2,2,2, , ,30, 
190573,190573.01,1,2016,AUDI, ,AUDI,,,,1,1.0,6,6, ,2,2016, ,6500, ,18,2, ,2,2,1,1,40,350, 
190668,190668.01,1,2019,GMC, ,GMC,,,,1,1.0,13,13, ,1,2019,6,100, ,25,2, ,2,2,1,1,10,120, 
190668,190668.02,2,2018,GMC, ,GMC,,,,1,1.0,13,13,2,1,2018,4,32600, ,30,2, ,2,2,1,1,0,120, 
